measure_name,location_id,location_name,FIPS,cause_id,cause_name,sex_id,sex,age_id,age_name,year_id,metric,mx
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,1980,Rate,3.009805
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,1981,Rate,2.891207
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,1982,Rate,2.775184
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,1983,Rate,2.885619
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,1984,Rate,4.370964
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,1985,Rate,4.342259
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,1986,Rate,2.8901
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,1987,Rate,3.018125
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,1988,Rate,3.010508
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,1989,Rate,3.094357
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,1990,Rate,3.102816
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,1991,Rate,2.681449
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,1992,Rate,2.867829
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,1993,Rate,3.69297
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,1994,Rate,3.623371
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,1995,Rate,3.716825
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,1996,Rate,4.14888
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,1997,Rate,3.331419
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,1998,Rate,3.476722
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,1999,Rate,4.777341
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,2000,Rate,3.955858
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,2001,Rate,3.573828
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,2002,Rate,3.608268
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,2003,Rate,3.365364
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,2004,Rate,2.727422
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,2005,Rate,2.5705
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,2006,Rate,2.581076
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,2007,Rate,3.259825
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,2008,Rate,3.150723
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,2009,Rate,2.338598
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,2010,Rate,2.269547
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,2011,Rate,1.778662
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,2012,Rate,1.771169
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,2013,Rate,1.756965
Deaths,804,Tulare County,6107,515,Asthma,3,Both,27,Age-standardized,2014,Rate,1.715699
