measure_name,location_id,location_name,FIPS,cause_id,cause_name,sex_id,sex,age_id,age_name,year_id,metric,mx
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,1980,Rate,27.62866525
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,1981,Rate,25.03567704
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,1982,Rate,25.80666517
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,1983,Rate,26.44911083
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,1984,Rate,27.59860628
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,1985,Rate,29.08173704
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,1986,Rate,29.29920368
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,1987,Rate,30.31011248
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,1988,Rate,31.80977152
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,1989,Rate,31.40228165
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,1990,Rate,32.98370651
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,1991,Rate,33.75732197
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,1992,Rate,33.54834732
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,1993,Rate,36.43794373
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,1994,Rate,35.88497338
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,1995,Rate,37.6641277
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,1996,Rate,40.14170847
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,1997,Rate,40.52671609
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,1998,Rate,43.22471814
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,1999,Rate,42.60460956
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,2000,Rate,46.10609891
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,2001,Rate,45.11826399
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,2002,Rate,44.9700384
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,2003,Rate,47.9805883
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,2004,Rate,43.85429866
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,2005,Rate,45.12125435
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,2006,Rate,46.44950883
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,2007,Rate,44.81895076
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,2008,Rate,42.20659438
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,2009,Rate,46.0300817
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,2010,Rate,42.69597335
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,2011,Rate,42.93144675
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,2012,Rate,42.07300021
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,2013,Rate,42.37545834
Deaths,804,Tulare County,6107,509,Chronic obstructive pulmonary disease,2,Female,27,Age-standardized,2014,Rate,40.20353673
